ReceiverID,ActionType,NegoOutcome,Content,Length,Word count of nego message,NegoOutcomeLabel
32,Offer,FinalAccept,"['hey', 'chris', 'great', 'working', 'together', 'competition', 'hereby', 'first', 'proposal', 'negotiations', 'catering', 'suggest', 'go', 'international', 'buffet', 'order', 'able', 'network', 'atmosphere', 'relaxed', 'easygoing', 'opinion', 'formal', 'threecourse', 'meal', 'makes', 'impossible', 'furthermore', 'since', 'many', 'people', 'familiar', 'russian', 'cuisine', 'suggest', 'go', 'international', 'food', 'order', 'everyone', 'find', 'food', 'like', 'date', 'conference', 'suggest', 'week', 'first', 'week', 'conference', 'colides', 'international', 'conference', 'economics', 'business', 'management', 'moscow', 'second', 'week', 'isa', 'higher', 'ranked', 'members', 'unavailable', 'week', 'four', 'would', 'close', 'christmas', 'holiday', 'last', 'week', 'christmas', 'guess', 'around', 'christmas', 'many', 'people', 'time', 'go', 'event', 'week', 'seem', 'problems', 'music', 'act', 'suggest', 'dj', 'happy', 'really', 'noticed', 'dissatifaction', 'last', 'years', 'music', 'acts', 'isa', 'events', 'think', 'keep', 'people', 'satisfied', 'well', 'known', 'international', 'act', 'would', 'great', 'dj', 'happy', 'famous', 'attract', 'many', 'people', 'presentation', 'acts', 'preference', 'speech', 'awards', 'finally', 'sponsor', 'selection', 'suggest', 'art', 'inc', 'made', 'best', 'offer', 'terms', 'shortterm', 'payment', 'directly', 'use', 'event', 'also', 'supported', 'isa', 'long', 'time', 'look', 'forward', 'hearing', 'alex', 'catering', 'international', 'buffet', 'date', 'conference', 'week', 'music', 'act', 'dj', 'happy', 'presentation', 'tasks', 'speech', 'alex', 'awards', 'chris', 'sponsor', 'selection', 'art', 'inc']",1778,309,1
31,Counteroffer,FinalAccept,"['hey', 'alex', 'pleasure', 'mine', 'starters', 'think', 'important', 'acknowledge', 'isa', 'plans', 'use', 'event', 'leverage', 'assure', 'successful', 'start', 'new', 'office', 'saint', 'petersburg', 'assured', 'establishing', 'contacts', 'many', 'local', 'business', 'people', 'officials', 'possible', 'partly', 'adapt', 'local', 'culture', 'way', 'show', 'new', 'members', 'guests', 'important', 'make', 'feel', 'appreciated', 'since', 'needed', 'successful', 'start', 'therefore', 'make', 'changes', 'catering', 'andor', 'music', 'act', 'proposal', 'following', 'catering', 'local', 'russian', 'cuisine', 'russian', 'contacts', 'highly', 'appreciate', 'effort', 'making', 'experience', 'sort', 'celebration', 'culture', 'enhance', 'chances', 'regarding', 'reaching', 'business', 'agreements', 'based', 'mutual', 'consent', 'future', 'agree', 'week', 'date', 'conference', 'dj', 'happy', 'famous', 'dj', 'might', 'overshadow', 'essence', 'event', 'risk', 'act', 'seen', 'main', 'event', 'people', 'talking', 'dj', 'happy', 'instead', 'isa', 'therefore', 'would', 'prefer', 'freelife', 'willing', 'book', 'dj', 'happy', 'condition', 'opening', 'speech', 'announce', 'awards', 'sponsor', 'selection', 'yes', 'art', 'inc', 'made', 'highest', 'offer', 'boomerang', 'made', 'sustainable', 'offer', 'also', 'boomerang', 'art', 'inc', 'offer', 'dont', 'differ', 'much', 'boomerang', 'guarantees', 'form', 'financial', 'stability', 'think', 'dr', 'roman', 'illenschitz', 'much', 'impressed', 'business', 'insights', 'choosing', 'sustainable', 'offer', 'instead', 'simply', 'accepting', 'highest', 'bid', 'looking', 'forward', 'underpinned', 'answer', 'kind', 'regards', 'chris', 'catering', 'local', 'russian', 'cuisine', 'date', 'conference', 'week', 'music', 'act', 'dj', 'happy', 'presentation', 'tasks', 'speech', 'chris', 'awards', 'alex', 'sponsor', 'selection', 'boomerang']",1949,337,1
32,Counteroffer,FinalAccept,"['hey', 'chris', 'thank', 'response', 'glad', 'hear', 'agree', 'date', 'conference', 'accept', 'compromise', 'music', 'act', 'dj', 'happy', 'presentation', 'tasks', 'giving', 'speech', 'two', 'points', 'still', 'agree', 'catering', 'sponsor', 'selection', 'know', 'prefer', 'international', 'buffet', 'art', 'inc', 'willing', 'go', 'preference', 'local', 'cuisine', 'however', 'compromise', 'would', 'like', 'go', 'art', 'inc', 'look', 'forward', 'hearing', 'thoughts', 'alex', 'catering', 'local', 'russian', 'cuisine', 'date', 'conference', 'week', 'music', 'act', 'dj', 'happy', 'presentation', 'tasks', 'speech', 'chris', 'awards', 'alex', 'sponsor', 'selection', 'art', 'inc']",693,123,1
31,Counteroffer,FinalAccept,"['hello', 'alex', 'think', 'solid', 'compromis', 'settled', 'willing', 'accept', 'terms', 'would', 'kindly', 'ask', 'elaborate', 'choice', 'art', 'inc', 'boomerang', 'wouldnt', 'think', 'sustainable', 'financial', 'situation', 'worth', 'best', 'regards', 'chris', 'catering', 'local', 'russian', 'cuisine', 'date', 'conference', 'week', 'music', 'act', 'dj', 'happy', 'presentation', 'tasks', 'speech', 'chris', 'awards', 'alex', 'sponsor', 'selection', 'art', 'inc']",452,77,1
32,Question,FinalAccept,"['dear', 'chris', 'glad', 'hear', 'willing', 'accept', 'terms', 'come', 'agreement', 'sure', 'great', 'event', 'course', 'elaborate', 'preference', 'art', 'inc', 'boomerang', 'sorry', 'art', 'inc', 'made', 'best', 'offer', 'terms', 'shortterm', 'payment', 'directly', 'event', 'right', 'boomerang', 'also', 'made', 'good', 'offer', 'however', 'offered', 'slightly', 'less', 'money', 'event', 'know', 'say', 'would', 'willing', 'sign', 'longterm', 'contract', 'ensure', 'sponsoring', 'future', 'events', 'isa', 'understand', 'gives', 'security', 'seems', 'attractive', 'however', 'opinion', 'good', 'relationship', 'art', 'inc', 'considered', 'since', 'supported', 'isa', 'long', 'time', 'therefore', 'sure', 'support', 'continue', 'future', 'well', 'unless', 'unhappy', 'something', 'making', 'change', 'mind', 'selecting', 'boomerang', 'direct', 'competitor', 'art', 'inc', 'could', 'reason', 'dissatisfy', 'art', 'inc', 'possibly', 'making', 'longer', 'support', 'isa', 'future', 'reason', 'think', 'go', 'art', 'inc', 'assuming', 'support', 'future', 'considering', 'good', 'relationship', 'high', 'amount', 'money', 'get', 'event', 'look', 'forward', 'hearing', 'thought', 'alex']",1349,249,1
31,Clarification,FinalAccept,"['dear', 'alex', 'thanks', 'elaborating', 'lets', 'pop', 'champaign', 'deal', 'best', 'regards', 'pleasure', 'business', 'chris']",134,22,1
32,FinalAccept,FinalAccept,"['great', 'hereby', 'official', 'confirmation', 'deal', 'champaign', 'indeed', 'sounds', 'like', 'perfect', 'way', 'celebrate']",113,18,1
34,Offer,FinalAccept,"['dear', 'chris', 'hopefully', 'well', 'still', 'issues', 'need', 'discuss', 'relation', 'anniversary', 'event', 'isa', 'opening', 'new', 'department', 'saint', 'petersburg', 'first', 'catering', 'really', 'want', 'propose', 'international', 'buffet', 'allows', 'people', 'walk', 'around', 'freely', 'meet', 'kinds', 'different', 'people', 'lets', 'expand', 'network', 'additionally', 'internatonal', 'buffet', 'cover', 'different', 'tastes', 'offering', 'something', 'everything', 'also', 'try', 'organise', 'event', 'first', 'week', 'december', 'think', 'planning', 'allows', 'many', 'people', 'possible', 'attend', 'event', 'clash', 'activities', 'would', 'organise', 'november', 'likely', 'clash', 'international', 'conference', 'economic', 'business', 'management', 'moscow', 'activities', 'isa', 'staff', 'members', 'opinion', 'desirable', 'music', 'act', 'think', 'try', 'get', 'currently', 'internationally', 'famous', 'act', 'dj', 'happy', 'capitalises', 'international', 'ambiance', 'isa', 'let', 'event', 'also', 'emphasize', 'ambiance', 'interested', 'parties', 'russia', 'based', 'experience', 'previous', 'smaller', 'events', 'would', 'also', 'love', 'hold', 'speech', 'presentation', 'feel', 'confident', 'enough', 'speak', 'groups', 'really', 'think', 'could', 'take', 'care', 'good', 'presentation', 'event', 'sharing', 'tasks', 'opinion', 'beneficial', 'able', 'meet', 'person', 'therefore', 'cooperation', 'difficult', 'lastly', 'also', 'think', 'choose', 'art', 'inc', 'main', 'sponsor', 'result', 'constant', 'support', 'additionally', 'also', 'sure', 'directly', 'pay', 'share', 'still', 'need', 'experience', 'sponsors', 'think', 'good', 'main', 'sponsorship', 'uncertain', 'think', 'sponsors', 'could', 'use', 'event', 'proof', 'trustworthiness', 'future', 'collaborations', 'sum', 'proposed', 'following', 'solutions', 'issues', 'sponsor', 'selection', 'art', 'inc', 'presentation', 'tasks', 'speech', 'alex', 'awards', 'chris', 'music', 'act', 'dj', 'happy', 'date', 'conference', 'week', 'catering', 'international', 'buffet', 'best', 'regards', 'alex']",2220,381,1
33,Counteroffer,FinalAccept,"['dear', 'alex', 'thanks', 'lot', 'message', 'well', 'thank', 'indeed', 'lets', 'discusses', 'issues', 'regarding', 'event', 'isa', 'catering', 'prefer', 'international', 'buffet', 'event', 'many', 'important', 'people', 'expect', 'certain', 'level', 'formality', 'buffet', 'therefore', 'simple', 'succes', 'isa', 'always', 'partly', 'due', 'successful', 'adoption', 'local', 'culture', 'therefore', 'would', 'like', 'propose', 'local', 'russian', 'cuisine', 'think', 'vital', 'part', 'creation', 'good', 'relationship', 'future', 'business', 'partners', 'russia', 'would', 'nice', 'atmosphere', 'event', 'reflect', 'local', 'cultural', 'aspects', 'enjoyable', 'conference', 'visitors', 'showing', 'interested', 'culture', 'advantage', 'also', 'quests', 'culture', 'nice', 'opportunity', 'get', 'familiar', 'russian', 'food', 'music', 'music', 'actually', 'reason', 'explained', 'would', 'advantage', 'russian', 'local', 'cultural', 'aspects', 'russian', 'business', 'partners', 'strategy', 'event', 'focused', 'establishing', 'good', 'relationship', 'local', 'companies', 'officials', 'therefore', 'want', 'purpose', 'local', 'russian', 'band', 'communicatie', 'beforehand', 'also', 'play', 'international', 'music', 'end', 'date', 'conference', 'totally', 'agree', 'week', 'definitely', 'best', 'option', 'us', 'presentation', 'tasks', 'youre', 'right', 'ideal', 'share', 'tasks', 'able', 'meet', 'also', 'opinion', 'would', 'chaotic', 'share', 'tasks', 'mind', 'awards', 'promise', 'prepare', 'well', 'also', 'try', 'something', 'creative', 'awards', 'sponsor', 'prefer', 'boomerang', 'art', 'inc', 'although', 'know', 'art', 'inc', 'made', 'best', 'offer', 'always', 'donated', 'money', 'different', 'events', 'without', 'written', 'contract', 'regarding', 'future', 'art', 'inc', 'always', 'decide', 'change', 'intentions', 'boomerang', 'willing', 'sign', 'longterm', 'contract', 'looked', 'longterm', 'perspective', 'advantage', 'therefore', 'prefer', 'boomerang', 'wish', 'good', 'evening', 'best', 'chris']",2282,407,1
34,Counteroffer,FinalAccept,"['dear', 'chris', 'good', 'hear', 'well', 'thank', 'offer', 'well', 'well', 'good', 'see', 'could', 'agree', 'points', 'date', 'conference', 'well', 'presentation', 'task', 'course', 'best', 'speech', 'well', 'prepared', 'want', 'stress', 'feel', 'agreements', 'give', 'us', 'solid', 'base', 'want', 'discuss', 'elaborate', 'three', 'points', 'see', 'come', 'mutual', 'solution', 'issues', 'well', 'understand', 'reasoning', 'local', 'russian', 'cuisine', 'think', 'ideal', 'solution', 'event', 'first', 'believe', 'consider', 'main', 'goal', 'event', 'opinion', 'event', 'organised', 'order', 'allow', 'people', 'isa', 'meet', 'local', 'population', 'well', 'meet', 'fellow', 'peers', 'organise', 'local', 'russian', 'cuisine', 'think', 'opportunities', 'people', 'meet', 'others', 'limited', 'people', 'given', 'designated', 'seating', 'remain', 'duration', 'dinner', 'setting', 'optimal', 'clientelle', 'meet', 'greet', 'others', 'much', 'buffet', 'would', 'allow', 'addition', 'formality', 'event', 'also', 'already', 'encapsulated', 'within', 'presentation', 'given', 'event', 'lastly', 'also', 'think', 'offering', 'local', 'russian', 'cuisine', 'allow', 'guests', 'get', 'familiar', 'russian', 'cuisine', 'everyone', 'might', 'find', 'something', 'suit', 'tastes', 'therefore', 'believe', 'international', 'cuisine', 'offers', 'something', 'everyone', 'would', 'safest', 'route', 'go', 'topic', 'music', 'act', 'think', 'point', 'allow', 'russian', 'cultural', 'influence', 'event', 'therefore', 'find', 'idea', 'ask', 'local', 'russian', 'band', 'take', 'care', 'event', 'long', 'ask', 'also', 'play', 'bit', 'internationally', 'flavoured', 'music', 'finally', 'yet', 'convinced', 'topic', 'sponsor', 'really', 'feel', 'uncertain', 'immediately', 'choosing', 'boomerang', 'main', 'sponsor', 'know', 'little', 'agree', 'seem', 'nice', 'company', 'great', 'business', 'future', 'feel', 'certainty', 'sponsor', 'current', 'event', 'would', 'love', 'invite', 'one', 'smaller', 'sponsors', 'look', 'extending', 'cooperation', 'future', 'events', 'think', 'remain', 'loyal', 'art', 'inc', 'far', 'loyal', 'supporter', 'organisation', 'see', 'letting', 'us', 'stand', 'cold', 'anytime', 'soon', 'looking', 'forward', 'seeing', 'reaction', 'proposal', 'hope', 'also', 'get', 'agreement', 'last', 'points', 'best', 'regards', 'alex']",2821,537,1
