ReceiverID,ActionType,NegoOutcome,Content,Length,Word count of nego message,NegoOutcomeLabel
32,Offer,FinalAccept,"['hey', 'chris', 'great', 'working', 'together', 'competition', 'hereby', 'first', 'proposal', 'negotiation', 'catering', 'suggest', 'go', 'international', 'buffet', 'order', 'able', 'network', 'atmosphere', 'relaxed', 'easygoing', 'opinion', 'formal', 'threecourse', 'meal', 'make', 'impossible', 'furthermore', 'since', 'many', 'people', 'familiar', 'russian', 'cuisine', 'suggest', 'go', 'international', 'food', 'order', 'everyone', 'find', 'food', 'like', 'date', 'conference', 'suggest', 'week', 'first', 'week', 'conference', 'colides', 'international', 'conference', 'economics', 'business', 'management', 'moscow', 'second', 'week', 'isa', 'higher', 'ranked', 'member', 'unavailable', 'week', 'four', 'would', 'close', 'christmas', 'holiday', 'last', 'week', 'christmas', 'guess', 'around', 'christmas', 'many', 'people', 'time', 'go', 'event', 'week', 'seem', 'problem', 'music', 'act', 'suggest', 'dj', 'happy', 'really', 'noticed', 'dissatifaction', 'last', 'year', 'music', 'act', 'isa', 'event', 'think', 'keep', 'people', 'satisfied', 'well', 'known', 'international', 'act', 'would', 'great', 'dj', 'happy', 'famous', 'attract', 'many', 'people', 'presentation', 'act', 'preference', 'speech', 'award', 'finally', 'sponsor', 'selection', 'suggest', 'art', 'inc', 'made', 'best', 'offer', 'term', 'shortterm', 'payment', 'directly', 'use', 'event', 'also', 'supported', 'isa', 'long', 'time', 'look', 'forward', 'hearing', 'alex', 'catering', 'international', 'buffet', 'date', 'conference', 'week', 'music', 'act', 'dj', 'happy', 'presentation', 'task', 'speech', 'alex', 'award', 'chris', 'sponsor', 'selection', 'art', 'inc']",1778,309,1
31,Counteroffer,FinalAccept,"['hey', 'alex', 'pleasure', 'mine', 'starter', 'think', 'important', 'acknowledge', 'isa', 'plan', 'use', 'event', 'leverage', 'assure', 'successful', 'start', 'new', 'office', 'saint', 'petersburg', 'assured', 'establishing', 'contact', 'many', 'local', 'business', 'people', 'official', 'possible', 'partly', 'adapt', 'local', 'culture', 'way', 'show', 'new', 'member', 'guest', 'important', 'make', 'feel', 'appreciated', 'since', 'needed', 'successful', 'start', 'therefore', 'make', 'change', 'catering', 'andor', 'music', 'act', 'proposal', 'following', 'catering', 'local', 'russian', 'cuisine', 'russian', 'contact', 'highly', 'appreciate', 'effort', 'making', 'experience', 'sort', 'celebration', 'culture', 'enhance', 'chance', 'regarding', 'reaching', 'business', 'agreement', 'based', 'mutual', 'consent', 'future', 'agree', 'week', 'date', 'conference', 'dj', 'happy', 'famous', 'dj', 'might', 'overshadow', 'essence', 'event', 'risk', 'act', 'seen', 'main', 'event', 'people', 'talking', 'dj', 'happy', 'instead', 'isa', 'therefore', 'would', 'prefer', 'freelife', 'willing', 'book', 'dj', 'happy', 'condition', 'opening', 'speech', 'announce', 'award', 'sponsor', 'selection', 'yes', 'art', 'inc', 'made', 'highest', 'offer', 'boomerang', 'made', 'sustainable', 'offer', 'also', 'boomerang', 'art', 'inc', 'offer', 'dont', 'differ', 'much', 'boomerang', 'guarantee', 'form', 'financial', 'stability', 'think', 'dr', 'roman', 'illenschitz', 'much', 'impressed', 'business', 'insight', 'choosing', 'sustainable', 'offer', 'instead', 'simply', 'accepting', 'highest', 'bid', 'looking', 'forward', 'underpinned', 'answer', 'kind', 'regard', 'chris', 'catering', 'local', 'russian', 'cuisine', 'date', 'conference', 'week', 'music', 'act', 'dj', 'happy', 'presentation', 'task', 'speech', 'chris', 'award', 'alex', 'sponsor', 'selection', 'boomerang']",1949,337,1
32,Counteroffer,FinalAccept,"['hey', 'chris', 'thank', 'response', 'glad', 'hear', 'agree', 'date', 'conference', 'accept', 'compromise', 'music', 'act', 'dj', 'happy', 'presentation', 'task', 'giving', 'speech', 'two', 'point', 'still', 'agree', 'catering', 'sponsor', 'selection', 'know', 'prefer', 'international', 'buffet', 'art', 'inc', 'willing', 'go', 'preference', 'local', 'cuisine', 'however', 'compromise', 'would', 'like', 'go', 'art', 'inc', 'look', 'forward', 'hearing', 'thought', 'alex', 'catering', 'local', 'russian', 'cuisine', 'date', 'conference', 'week', 'music', 'act', 'dj', 'happy', 'presentation', 'task', 'speech', 'chris', 'award', 'alex', 'sponsor', 'selection', 'art', 'inc']",693,123,1
31,Counteroffer,FinalAccept,"['hello', 'alex', 'think', 'solid', 'compromis', 'settled', 'willing', 'accept', 'term', 'would', 'kindly', 'ask', 'elaborate', 'choice', 'art', 'inc', 'boomerang', 'wouldnt', 'think', 'sustainable', 'financial', 'situation', 'worth', 'best', 'regard', 'chris', 'catering', 'local', 'russian', 'cuisine', 'date', 'conference', 'week', 'music', 'act', 'dj', 'happy', 'presentation', 'task', 'speech', 'chris', 'award', 'alex', 'sponsor', 'selection', 'art', 'inc']",452,77,1
32,Question,FinalAccept,"['dear', 'chris', 'glad', 'hear', 'willing', 'accept', 'term', 'come', 'agreement', 'sure', 'great', 'event', 'course', 'elaborate', 'preference', 'art', 'inc', 'boomerang', 'sorry', 'art', 'inc', 'made', 'best', 'offer', 'term', 'shortterm', 'payment', 'directly', 'event', 'right', 'boomerang', 'also', 'made', 'good', 'offer', 'however', 'offered', 'slightly', 'less', 'money', 'event', 'know', 'say', 'would', 'willing', 'sign', 'longterm', 'contract', 'ensure', 'sponsoring', 'future', 'event', 'isa', 'understand', 'give', 'security', 'seems', 'attractive', 'however', 'opinion', 'good', 'relationship', 'art', 'inc', 'considered', 'since', 'supported', 'isa', 'long', 'time', 'therefore', 'sure', 'support', 'continue', 'future', 'well', 'unless', 'unhappy', 'something', 'making', 'change', 'mind', 'selecting', 'boomerang', 'direct', 'competitor', 'art', 'inc', 'could', 'reason', 'dissatisfy', 'art', 'inc', 'possibly', 'making', 'longer', 'support', 'isa', 'future', 'reason', 'think', 'go', 'art', 'inc', 'assuming', 'support', 'future', 'considering', 'good', 'relationship', 'high', 'amount', 'money', 'get', 'event', 'look', 'forward', 'hearing', 'thought', 'alex']",1349,249,1
31,Clarification,FinalAccept,"['dear', 'alex', 'thanks', 'elaborating', 'let', 'pop', 'champaign', 'deal', 'best', 'regard', 'pleasure', 'business', 'chris']",134,22,1
32,FinalAccept,FinalAccept,"['great', 'hereby', 'official', 'confirmation', 'deal', 'champaign', 'indeed', 'sound', 'like', 'perfect', 'way', 'celebrate']",113,18,1
34,Offer,FinalAccept,"['dear', 'chris', 'hopefully', 'well', 'still', 'issue', 'need', 'discus', 'relation', 'anniversary', 'event', 'isa', 'opening', 'new', 'department', 'saint', 'petersburg', 'first', 'catering', 'really', 'want', 'propose', 'international', 'buffet', 'allows', 'people', 'walk', 'around', 'freely', 'meet', 'kind', 'different', 'people', 'let', 'expand', 'network', 'additionally', 'internatonal', 'buffet', 'cover', 'different', 'taste', 'offering', 'something', 'everything', 'also', 'try', 'organise', 'event', 'first', 'week', 'december', 'think', 'planning', 'allows', 'many', 'people', 'possible', 'attend', 'event', 'clash', 'activity', 'would', 'organise', 'november', 'likely', 'clash', 'international', 'conference', 'economic', 'business', 'management', 'moscow', 'activity', 'isa', 'staff', 'member', 'opinion', 'desirable', 'music', 'act', 'think', 'try', 'get', 'currently', 'internationally', 'famous', 'act', 'dj', 'happy', 'capitalises', 'international', 'ambiance', 'isa', 'let', 'event', 'also', 'emphasize', 'ambiance', 'interested', 'party', 'russia', 'based', 'experience', 'previous', 'smaller', 'event', 'would', 'also', 'love', 'hold', 'speech', 'presentation', 'feel', 'confident', 'enough', 'speak', 'group', 'really', 'think', 'could', 'take', 'care', 'good', 'presentation', 'event', 'sharing', 'task', 'opinion', 'beneficial', 'able', 'meet', 'person', 'therefore', 'cooperation', 'difficult', 'lastly', 'also', 'think', 'choose', 'art', 'inc', 'main', 'sponsor', 'result', 'constant', 'support', 'additionally', 'also', 'sure', 'directly', 'pay', 'share', 'still', 'need', 'experience', 'sponsor', 'think', 'good', 'main', 'sponsorship', 'uncertain', 'think', 'sponsor', 'could', 'use', 'event', 'proof', 'trustworthiness', 'future', 'collaboration', 'sum', 'proposed', 'following', 'solution', 'issue', 'sponsor', 'selection', 'art', 'inc', 'presentation', 'task', 'speech', 'alex', 'award', 'chris', 'music', 'act', 'dj', 'happy', 'date', 'conference', 'week', 'catering', 'international', 'buffet', 'best', 'regard', 'alex']",2220,381,1
33,Counteroffer,FinalAccept,"['dear', 'alex', 'thanks', 'lot', 'message', 'well', 'thank', 'indeed', 'let', 'discusses', 'issue', 'regarding', 'event', 'isa', 'catering', 'prefer', 'international', 'buffet', 'event', 'many', 'important', 'people', 'expect', 'certain', 'level', 'formality', 'buffet', 'therefore', 'simple', 'succes', 'isa', 'always', 'partly', 'due', 'successful', 'adoption', 'local', 'culture', 'therefore', 'would', 'like', 'propose', 'local', 'russian', 'cuisine', 'think', 'vital', 'part', 'creation', 'good', 'relationship', 'future', 'business', 'partner', 'russia', 'would', 'nice', 'atmosphere', 'event', 'reflect', 'local', 'cultural', 'aspect', 'enjoyable', 'conference', 'visitor', 'showing', 'interested', 'culture', 'advantage', 'also', 'quest', 'culture', 'nice', 'opportunity', 'get', 'familiar', 'russian', 'food', 'music', 'music', 'actually', 'reason', 'explained', 'would', 'advantage', 'russian', 'local', 'cultural', 'aspect', 'russian', 'business', 'partner', 'strategy', 'event', 'focused', 'establishing', 'good', 'relationship', 'local', 'company', 'official', 'therefore', 'want', 'purpose', 'local', 'russian', 'band', 'communicatie', 'beforehand', 'also', 'play', 'international', 'music', 'end', 'date', 'conference', 'totally', 'agree', 'week', 'definitely', 'best', 'option', 'u', 'presentation', 'task', 'youre', 'right', 'ideal', 'share', 'task', 'able', 'meet', 'also', 'opinion', 'would', 'chaotic', 'share', 'task', 'mind', 'award', 'promise', 'prepare', 'well', 'also', 'try', 'something', 'creative', 'award', 'sponsor', 'prefer', 'boomerang', 'art', 'inc', 'although', 'know', 'art', 'inc', 'made', 'best', 'offer', 'always', 'donated', 'money', 'different', 'event', 'without', 'written', 'contract', 'regarding', 'future', 'art', 'inc', 'always', 'decide', 'change', 'intention', 'boomerang', 'willing', 'sign', 'longterm', 'contract', 'looked', 'longterm', 'perspective', 'advantage', 'therefore', 'prefer', 'boomerang', 'wish', 'good', 'evening', 'best', 'chris']",2282,407,1
34,Counteroffer,FinalAccept,"['dear', 'chris', 'good', 'hear', 'well', 'thank', 'offer', 'well', 'well', 'good', 'see', 'could', 'agree', 'point', 'date', 'conference', 'well', 'presentation', 'task', 'course', 'best', 'speech', 'well', 'prepared', 'want', 'stress', 'feel', 'agreement', 'give', 'u', 'solid', 'base', 'want', 'discus', 'elaborate', 'three', 'point', 'see', 'come', 'mutual', 'solution', 'issue', 'well', 'understand', 'reasoning', 'local', 'russian', 'cuisine', 'think', 'ideal', 'solution', 'event', 'first', 'believe', 'consider', 'main', 'goal', 'event', 'opinion', 'event', 'organised', 'order', 'allow', 'people', 'isa', 'meet', 'local', 'population', 'well', 'meet', 'fellow', 'peer', 'organise', 'local', 'russian', 'cuisine', 'think', 'opportunity', 'people', 'meet', 'others', 'limited', 'people', 'given', 'designated', 'seating', 'remain', 'duration', 'dinner', 'setting', 'optimal', 'clientelle', 'meet', 'greet', 'others', 'much', 'buffet', 'would', 'allow', 'addition', 'formality', 'event', 'also', 'already', 'encapsulated', 'within', 'presentation', 'given', 'event', 'lastly', 'also', 'think', 'offering', 'local', 'russian', 'cuisine', 'allow', 'guest', 'get', 'familiar', 'russian', 'cuisine', 'everyone', 'might', 'find', 'something', 'suit', 'taste', 'therefore', 'believe', 'international', 'cuisine', 'offer', 'something', 'everyone', 'would', 'safest', 'route', 'go', 'topic', 'music', 'act', 'think', 'point', 'allow', 'russian', 'cultural', 'influence', 'event', 'therefore', 'find', 'idea', 'ask', 'local', 'russian', 'band', 'take', 'care', 'event', 'long', 'ask', 'also', 'play', 'bit', 'internationally', 'flavoured', 'music', 'finally', 'yet', 'convinced', 'topic', 'sponsor', 'really', 'feel', 'uncertain', 'immediately', 'choosing', 'boomerang', 'main', 'sponsor', 'know', 'little', 'agree', 'seem', 'nice', 'company', 'great', 'business', 'future', 'feel', 'certainty', 'sponsor', 'current', 'event', 'would', 'love', 'invite', 'one', 'smaller', 'sponsor', 'look', 'extending', 'cooperation', 'future', 'event', 'think', 'remain', 'loyal', 'art', 'inc', 'far', 'loyal', 'supporter', 'organisation', 'see', 'letting', 'u', 'stand', 'cold', 'anytime', 'soon', 'looking', 'forward', 'seeing', 'reaction', 'proposal', 'hope', 'also', 'get', 'agreement', 'last', 'point', 'best', 'regard', 'alex']",2821,537,1
