ReceiverID_x,ActionType_x,NegoOutcome_x,Content,Length_x,Word count of nego message_x,NegoOutcomeLabel_x,Filtered_Content_x,HuggingFace_Emotion,HuggingFace_Confidence,EmoRoBERTa_Emotion,EmoRoBERTa_Confidence,ReceiverID_y,ActionType_y,NegoOutcome_y,Length_y,Word count of nego message_y,NegoOutcomeLabel_y,Filtered_Content_y,Sentiment,Sentiment_Score
32,Counteroffer,FinalAccept,hey chris thank response glad hear agree date conference accept compromise music act dj happy presentation tasks giving speech two points still agree catering sponsor selection know prefer international buffet art inc willing go preference local cuisine however compromise would like go art inc look forward hearing thoughts alex catering local russian cuisine date conference week music act dj happy presentation tasks speech chris awards alex sponsor selection art inc,693,123,1,response glad hear agree date conference accept compromise music act dj happy presentation tasks giving speech two points still agree catering sponsor selection know prefer international buffet art inc willing go preference local cuisine however compromise would like go art inc look forward hearing thoughts alex catering local russian cuisine date conference week music act dj happy presentation tasks speech chris awards alex sponsor selection art inc,joy,0.9521542191505432,joy,0.8867807388305664,32,Counteroffer,FinalAccept,693,123,1,response glad hear agree date conference accept compromise music act dj happy presentation tasks giving speech two points still agree catering sponsor selection know prefer international buffet art inc willing go preference local cuisine however compromise would like go art inc look forward hearing thoughts alex catering local russian cuisine date conference week music act dj happy presentation tasks speech chris awards alex sponsor selection art inc,NEGATIVE,0.944347321987152
31,Counteroffer,FinalAccept,hello alex think solid compromis settled willing accept terms would kindly ask elaborate choice art inc boomerang wouldnt think sustainable financial situation worth best regards chris catering local russian cuisine date conference week music act dj happy presentation tasks speech chris awards alex sponsor selection art inc,452,77,1,solid compromis settled willing accept terms would kindly ask elaborate choice art inc boomerang wouldnt think sustainable financial situation worth best regards chris catering local russian cuisine date conference week music act dj happy presentation tasks speech chris awards alex sponsor selection art inc,joy,0.8541240096092224,joy,0.7655332684516907,31,Counteroffer,FinalAccept,452,77,1,solid compromis settled willing accept terms would kindly ask elaborate choice art inc boomerang wouldnt think sustainable financial situation worth best regards chris catering local russian cuisine date conference week music act dj happy presentation tasks speech chris awards alex sponsor selection art inc,NEGATIVE,0.6817785501480103
31,Clarification,FinalAccept,dear alex thanks elaborating lets pop champaign deal best regards pleasure business chris,134,22,1,elaborating lets pop champaign deal best regards pleasure business chris,sadness,0.8818219304084778,joy,0.9019578099250792,31,Clarification,FinalAccept,134,22,1,elaborating lets pop champaign deal best regards pleasure business chris,POSITIVE,0.99677711725235
32,FinalAccept,FinalAccept,great hereby official confirmation deal champaign indeed sounds like perfect way celebrate,113,18,1,confirmation deal champaign indeed sounds like perfect way celebrate,joy,0.8287166357040405,joy,0.9417909979820251,32,FinalAccept,FinalAccept,113,18,1,confirmation deal champaign indeed sounds like perfect way celebrate,POSITIVE,0.9997534155845642
33,Counteroffer,FinalAccept,dear alex thanks quick reply really believe fix last issue agree also need something international search local russian cuisine ask also prepare general international recipes servers local russian cuisine traditional russian clothes serving local russian food general international food would perfect best chris,427,70,1,quick reply really believe fix last issue agree also need something international search local russian cuisine ask also prepare general international recipes servers local russian cuisine traditional russian clothes serving local russian food general international food would perfect best chris,surprise,0.5875949859619141,joy,0.6553975939750671,33,Counteroffer,FinalAccept,427,70,1,quick reply really believe fix last issue agree also need something international search local russian cuisine ask also prepare general international recipes servers local russian cuisine traditional russian clothes serving local russian food general international food would perfect best chris,NEGATIVE,0.9425764679908752
33,Counteroffer,FinalAccept,dear alex thanks freelife local russian music perfectly fine deal best chris,128,24,1,freelife local russian music perfectly fine deal best chris,sadness,0.7835803627967834,joy,0.9067614674568176,33,Counteroffer,FinalAccept,128,24,1,freelife local russian music perfectly fine deal best chris,POSITIVE,0.999847173690796
34,FinalAccept,FinalAccept,dear chris happy say deal thanks negotiation real pleasure negotiating hopefully event succesful best alex,180,34,1,say deal thanks negotiation real pleasure negotiating hopefully event succesful best alex,sadness,0.4781472086906433,joy,0.954585611820221,34,FinalAccept,FinalAccept,180,34,1,say deal thanks negotiation real pleasure negotiating hopefully event succesful best alex,POSITIVE,0.9994847774505616
36,Offer,FinalAccept,hi chris would hereby like send first offer regarding isa hope hear soon alex catering international buffet date conference week music act dj happy presentation tasks speech alex awards chris sponsor selection art inc,279,47,1,hereby like send first offer regarding isa hope hear soon alex catering international buffet date conference week music act dj happy presentation tasks speech alex awards chris sponsor selection art inc,joy,0.9231597781181335,joy,0.9332178235054016,36,Offer,FinalAccept,279,47,1,hereby like send first offer regarding isa hope hear soon alex catering international buffet date conference week music act dj happy presentation tasks speech alex awards chris sponsor selection art inc,NEGATIVE,0.9397552609443665
36,Counteroffer,FinalAccept,dear chris thank reaction first admit little disappointed changed opinions regarding music act think freelife attract less guests dj happy would therefore lesser chances recruiting new isa members sponsors less guests socialize however feel like music act would satisfy guests present therefore think could go along compensate smaller amount guests therefore sponsers propose rethink sponsor selection art inc offers us money use compensate use afford three course meal since cost buffet eager hear thoughts alex,798,144,1,reaction first admit little disappointed changed opinions regarding music act think freelife attract less guests dj happy would therefore lesser chances recruiting new isa members sponsors less guests socialize however feel like music act would satisfy guests present therefore think could go along compensate smaller amount guests therefore sponsers propose rethink sponsor selection art inc offers us money use compensate use afford three course meal since cost buffet eager hear thoughts alex,sadness,0.8888681530952454,sadness,0.8207687735557556,36,Counteroffer,FinalAccept,798,144,1,reaction first admit little disappointed changed opinions regarding music act think freelife attract less guests dj happy would therefore lesser chances recruiting new isa members sponsors less guests socialize however feel like music act would satisfy guests present therefore think could go along compensate smaller amount guests therefore sponsers propose rethink sponsor selection art inc offers us money use compensate use afford three course meal since cost buffet eager hear thoughts alex,NEGATIVE,0.9877635836601256
36,Counteroffer,FinalAccept,hi chris well agreed would opening speech chose boomerang sponsor furthermore opted three course meal instead buffet initially proposed yes right course lot isa member older generation also lot young entrepreneurs students appreciative modern international music kind regards alex,424,76,1,agreed would opening speech chose boomerang sponsor furthermore opted three course meal instead buffet initially proposed yes right course lot isa member older generation also lot young entrepreneurs students appreciative modern international music kind regards alex,joy,0.6767770051956177,joy,0.8995746374130249,36,Counteroffer,FinalAccept,424,76,1,agreed would opening speech chose boomerang sponsor furthermore opted three course meal instead buffet initially proposed yes right course lot isa member older generation also lot young entrepreneurs students appreciative modern international music kind regards alex,NEGATIVE,0.9335229396820068
