ReceiverID,ActionType,NegoOutcome,Content,Length,Word count of nego message,NegoOutcomeLabel
32,Offer,FinalAccept,"['hey', 'chri', 'great', 'work', 'togeth', 'competit', 'herebi', 'first', 'propos', 'negoti', 'cater', 'suggest', 'go', 'intern', 'buffet', 'order', 'abl', 'network', 'atmospher', 'relax', 'easygo', 'opinion', 'formal', 'threecours', 'meal', 'make', 'imposs', 'furthermor', 'sinc', 'mani', 'peopl', 'familiar', 'russian', 'cuisin', 'suggest', 'go', 'intern', 'food', 'order', 'everyon', 'find', 'food', 'like', 'date', 'confer', 'suggest', 'week', 'first', 'week', 'confer', 'colid', 'intern', 'confer', 'econom', 'busi', 'manag', 'moscow', 'second', 'week', 'isa', 'higher', 'rank', 'member', 'unavail', 'week', 'four', 'would', 'close', 'christma', 'holiday', 'last', 'week', 'christma', 'guess', 'around', 'christma', 'mani', 'peopl', 'time', 'go', 'event', 'week', 'seem', 'problem', 'music', 'act', 'suggest', 'dj', 'happi', 'realli', 'notic', 'dissatifact', 'last', 'year', 'music', 'act', 'isa', 'event', 'think', 'keep', 'peopl', 'satisfi', 'well', 'known', 'intern', 'act', 'would', 'great', 'dj', 'happi', 'famou', 'attract', 'mani', 'peopl', 'present', 'act', 'prefer', 'speech', 'award', 'final', 'sponsor', 'select', 'suggest', 'art', 'inc', 'made', 'best', 'offer', 'term', 'shortterm', 'payment', 'directli', 'use', 'event', 'also', 'support', 'isa', 'long', 'time', 'look', 'forward', 'hear', 'alex', 'cater', 'intern', 'buffet', 'date', 'confer', 'week', 'music', 'act', 'dj', 'happi', 'present', 'task', 'speech', 'alex', 'award', 'chri', 'sponsor', 'select', 'art', 'inc']",1778,309,1
31,Counteroffer,FinalAccept,"['hey', 'alex', 'pleasur', 'mine', 'starter', 'think', 'import', 'acknowledg', 'isa', 'plan', 'use', 'event', 'leverag', 'assur', 'success', 'start', 'new', 'offic', 'saint', 'petersburg', 'assur', 'establish', 'contact', 'mani', 'local', 'busi', 'peopl', 'offici', 'possibl', 'partli', 'adapt', 'local', 'cultur', 'way', 'show', 'new', 'member', 'guest', 'import', 'make', 'feel', 'appreci', 'sinc', 'need', 'success', 'start', 'therefor', 'make', 'chang', 'cater', 'andor', 'music', 'act', 'propos', 'follow', 'cater', 'local', 'russian', 'cuisin', 'russian', 'contact', 'highli', 'appreci', 'effort', 'make', 'experi', 'sort', 'celebr', 'cultur', 'enhanc', 'chanc', 'regard', 'reach', 'busi', 'agreement', 'base', 'mutual', 'consent', 'futur', 'agre', 'week', 'date', 'confer', 'dj', 'happi', 'famou', 'dj', 'might', 'overshadow', 'essenc', 'event', 'risk', 'act', 'seen', 'main', 'event', 'peopl', 'talk', 'dj', 'happi', 'instead', 'isa', 'therefor', 'would', 'prefer', 'freelif', 'will', 'book', 'dj', 'happi', 'condit', 'open', 'speech', 'announc', 'award', 'sponsor', 'select', 'ye', 'art', 'inc', 'made', 'highest', 'offer', 'boomerang', 'made', 'sustain', 'offer', 'also', 'boomerang', 'art', 'inc', 'offer', 'dont', 'differ', 'much', 'boomerang', 'guarante', 'form', 'financi', 'stabil', 'think', 'dr', 'roman', 'illenschitz', 'much', 'impress', 'busi', 'insight', 'choos', 'sustain', 'offer', 'instead', 'simpli', 'accept', 'highest', 'bid', 'look', 'forward', 'underpin', 'answer', 'kind', 'regard', 'chri', 'cater', 'local', 'russian', 'cuisin', 'date', 'confer', 'week', 'music', 'act', 'dj', 'happi', 'present', 'task', 'speech', 'chri', 'award', 'alex', 'sponsor', 'select', 'boomerang']",1949,337,1
32,Counteroffer,FinalAccept,"['hey', 'chri', 'thank', 'respons', 'glad', 'hear', 'agre', 'date', 'confer', 'accept', 'compromis', 'music', 'act', 'dj', 'happi', 'present', 'task', 'give', 'speech', 'two', 'point', 'still', 'agre', 'cater', 'sponsor', 'select', 'know', 'prefer', 'intern', 'buffet', 'art', 'inc', 'will', 'go', 'prefer', 'local', 'cuisin', 'howev', 'compromis', 'would', 'like', 'go', 'art', 'inc', 'look', 'forward', 'hear', 'thought', 'alex', 'cater', 'local', 'russian', 'cuisin', 'date', 'confer', 'week', 'music', 'act', 'dj', 'happi', 'present', 'task', 'speech', 'chri', 'award', 'alex', 'sponsor', 'select', 'art', 'inc']",693,123,1
31,Counteroffer,FinalAccept,"['hello', 'alex', 'think', 'solid', 'compromi', 'settl', 'will', 'accept', 'term', 'would', 'kindli', 'ask', 'elabor', 'choic', 'art', 'inc', 'boomerang', 'wouldnt', 'think', 'sustain', 'financi', 'situat', 'worth', 'best', 'regard', 'chri', 'cater', 'local', 'russian', 'cuisin', 'date', 'confer', 'week', 'music', 'act', 'dj', 'happi', 'present', 'task', 'speech', 'chri', 'award', 'alex', 'sponsor', 'select', 'art', 'inc']",452,77,1
32,Question,FinalAccept,"['dear', 'chri', 'glad', 'hear', 'will', 'accept', 'term', 'come', 'agreement', 'sure', 'great', 'event', 'cours', 'elabor', 'prefer', 'art', 'inc', 'boomerang', 'sorri', 'art', 'inc', 'made', 'best', 'offer', 'term', 'shortterm', 'payment', 'directli', 'event', 'right', 'boomerang', 'also', 'made', 'good', 'offer', 'howev', 'offer', 'slightli', 'less', 'money', 'event', 'know', 'say', 'would', 'will', 'sign', 'longterm', 'contract', 'ensur', 'sponsor', 'futur', 'event', 'isa', 'understand', 'give', 'secur', 'seem', 'attract', 'howev', 'opinion', 'good', 'relationship', 'art', 'inc', 'consid', 'sinc', 'support', 'isa', 'long', 'time', 'therefor', 'sure', 'support', 'continu', 'futur', 'well', 'unless', 'unhappi', 'someth', 'make', 'chang', 'mind', 'select', 'boomerang', 'direct', 'competitor', 'art', 'inc', 'could', 'reason', 'dissatisfi', 'art', 'inc', 'possibl', 'make', 'longer', 'support', 'isa', 'futur', 'reason', 'think', 'go', 'art', 'inc', 'assum', 'support', 'futur', 'consid', 'good', 'relationship', 'high', 'amount', 'money', 'get', 'event', 'look', 'forward', 'hear', 'thought', 'alex']",1349,249,1
31,Clarification,FinalAccept,"['dear', 'alex', 'thank', 'elabor', 'let', 'pop', 'champaign', 'deal', 'best', 'regard', 'pleasur', 'busi', 'chri']",134,22,1
32,FinalAccept,FinalAccept,"['great', 'herebi', 'offici', 'confirm', 'deal', 'champaign', 'inde', 'sound', 'like', 'perfect', 'way', 'celebr']",113,18,1
34,Offer,FinalAccept,"['dear', 'chri', 'hope', 'well', 'still', 'issu', 'need', 'discuss', 'relat', 'anniversari', 'event', 'isa', 'open', 'new', 'depart', 'saint', 'petersburg', 'first', 'cater', 'realli', 'want', 'propos', 'intern', 'buffet', 'allow', 'peopl', 'walk', 'around', 'freeli', 'meet', 'kind', 'differ', 'peopl', 'let', 'expand', 'network', 'addit', 'internaton', 'buffet', 'cover', 'differ', 'tast', 'offer', 'someth', 'everyth', 'also', 'tri', 'organis', 'event', 'first', 'week', 'decemb', 'think', 'plan', 'allow', 'mani', 'peopl', 'possibl', 'attend', 'event', 'clash', 'activ', 'would', 'organis', 'novemb', 'like', 'clash', 'intern', 'confer', 'econom', 'busi', 'manag', 'moscow', 'activ', 'isa', 'staff', 'member', 'opinion', 'desir', 'music', 'act', 'think', 'tri', 'get', 'current', 'intern', 'famou', 'act', 'dj', 'happi', 'capitalis', 'intern', 'ambianc', 'isa', 'let', 'event', 'also', 'emphas', 'ambianc', 'interest', 'parti', 'russia', 'base', 'experi', 'previou', 'smaller', 'event', 'would', 'also', 'love', 'hold', 'speech', 'present', 'feel', 'confid', 'enough', 'speak', 'group', 'realli', 'think', 'could', 'take', 'care', 'good', 'present', 'event', 'share', 'task', 'opinion', 'benefici', 'abl', 'meet', 'person', 'therefor', 'cooper', 'difficult', 'lastli', 'also', 'think', 'choos', 'art', 'inc', 'main', 'sponsor', 'result', 'constant', 'support', 'addit', 'also', 'sure', 'directli', 'pay', 'share', 'still', 'need', 'experi', 'sponsor', 'think', 'good', 'main', 'sponsorship', 'uncertain', 'think', 'sponsor', 'could', 'use', 'event', 'proof', 'trustworthi', 'futur', 'collabor', 'sum', 'propos', 'follow', 'solut', 'issu', 'sponsor', 'select', 'art', 'inc', 'present', 'task', 'speech', 'alex', 'award', 'chri', 'music', 'act', 'dj', 'happi', 'date', 'confer', 'week', 'cater', 'intern', 'buffet', 'best', 'regard', 'alex']",2220,381,1
33,Counteroffer,FinalAccept,"['dear', 'alex', 'thank', 'lot', 'messag', 'well', 'thank', 'inde', 'let', 'discuss', 'issu', 'regard', 'event', 'isa', 'cater', 'prefer', 'intern', 'buffet', 'event', 'mani', 'import', 'peopl', 'expect', 'certain', 'level', 'formal', 'buffet', 'therefor', 'simpl', 'succ', 'isa', 'alway', 'partli', 'due', 'success', 'adopt', 'local', 'cultur', 'therefor', 'would', 'like', 'propos', 'local', 'russian', 'cuisin', 'think', 'vital', 'part', 'creation', 'good', 'relationship', 'futur', 'busi', 'partner', 'russia', 'would', 'nice', 'atmospher', 'event', 'reflect', 'local', 'cultur', 'aspect', 'enjoy', 'confer', 'visitor', 'show', 'interest', 'cultur', 'advantag', 'also', 'quest', 'cultur', 'nice', 'opportun', 'get', 'familiar', 'russian', 'food', 'music', 'music', 'actual', 'reason', 'explain', 'would', 'advantag', 'russian', 'local', 'cultur', 'aspect', 'russian', 'busi', 'partner', 'strategi', 'event', 'focus', 'establish', 'good', 'relationship', 'local', 'compani', 'offici', 'therefor', 'want', 'purpos', 'local', 'russian', 'band', 'communicati', 'beforehand', 'also', 'play', 'intern', 'music', 'end', 'date', 'confer', 'total', 'agre', 'week', 'definit', 'best', 'option', 'us', 'present', 'task', 'your', 'right', 'ideal', 'share', 'task', 'abl', 'meet', 'also', 'opinion', 'would', 'chaotic', 'share', 'task', 'mind', 'award', 'promis', 'prepar', 'well', 'also', 'tri', 'someth', 'creativ', 'award', 'sponsor', 'prefer', 'boomerang', 'art', 'inc', 'although', 'know', 'art', 'inc', 'made', 'best', 'offer', 'alway', 'donat', 'money', 'differ', 'event', 'without', 'written', 'contract', 'regard', 'futur', 'art', 'inc', 'alway', 'decid', 'chang', 'intent', 'boomerang', 'will', 'sign', 'longterm', 'contract', 'look', 'longterm', 'perspect', 'advantag', 'therefor', 'prefer', 'boomerang', 'wish', 'good', 'even', 'best', 'chri']",2282,407,1
34,Counteroffer,FinalAccept,"['dear', 'chri', 'good', 'hear', 'well', 'thank', 'offer', 'well', 'well', 'good', 'see', 'could', 'agre', 'point', 'date', 'confer', 'well', 'present', 'task', 'cours', 'best', 'speech', 'well', 'prepar', 'want', 'stress', 'feel', 'agreement', 'give', 'us', 'solid', 'base', 'want', 'discuss', 'elabor', 'three', 'point', 'see', 'come', 'mutual', 'solut', 'issu', 'well', 'understand', 'reason', 'local', 'russian', 'cuisin', 'think', 'ideal', 'solut', 'event', 'first', 'believ', 'consid', 'main', 'goal', 'event', 'opinion', 'event', 'organis', 'order', 'allow', 'peopl', 'isa', 'meet', 'local', 'popul', 'well', 'meet', 'fellow', 'peer', 'organis', 'local', 'russian', 'cuisin', 'think', 'opportun', 'peopl', 'meet', 'other', 'limit', 'peopl', 'given', 'design', 'seat', 'remain', 'durat', 'dinner', 'set', 'optim', 'clientel', 'meet', 'greet', 'other', 'much', 'buffet', 'would', 'allow', 'addit', 'formal', 'event', 'also', 'alreadi', 'encapsul', 'within', 'present', 'given', 'event', 'lastli', 'also', 'think', 'offer', 'local', 'russian', 'cuisin', 'allow', 'guest', 'get', 'familiar', 'russian', 'cuisin', 'everyon', 'might', 'find', 'someth', 'suit', 'tast', 'therefor', 'believ', 'intern', 'cuisin', 'offer', 'someth', 'everyon', 'would', 'safest', 'rout', 'go', 'topic', 'music', 'act', 'think', 'point', 'allow', 'russian', 'cultur', 'influenc', 'event', 'therefor', 'find', 'idea', 'ask', 'local', 'russian', 'band', 'take', 'care', 'event', 'long', 'ask', 'also', 'play', 'bit', 'intern', 'flavour', 'music', 'final', 'yet', 'convinc', 'topic', 'sponsor', 'realli', 'feel', 'uncertain', 'immedi', 'choos', 'boomerang', 'main', 'sponsor', 'know', 'littl', 'agre', 'seem', 'nice', 'compani', 'great', 'busi', 'futur', 'feel', 'certainti', 'sponsor', 'current', 'event', 'would', 'love', 'invit', 'one', 'smaller', 'sponsor', 'look', 'extend', 'cooper', 'futur', 'event', 'think', 'remain', 'loyal', 'art', 'inc', 'far', 'loyal', 'support', 'organis', 'see', 'let', 'us', 'stand', 'cold', 'anytim', 'soon', 'look', 'forward', 'see', 'reaction', 'propos', 'hope', 'also', 'get', 'agreement', 'last', 'point', 'best', 'regard', 'alex']",2821,537,1
